Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
02-08-2023,Wednesday,August,Q3,2023,435.230011,435.559998,426.559998,429.700012,429.700012,4912200
01-08-2023,Tuesday,August,Q3,2023,437.369995,445.25,431.399994,438.619995,438.619995,5711500
31-07-2023,Monday,July,Q3,2023,426.51001,439.130005,426.299988,438.970001,438.970001,6587600
28-07-2023,Friday,July,Q3,2023,415.559998,427.470001,413.76001,425.779999,425.779999,6424200
27-07-2023,Thursday,July,Q3,2023,426.899994,427.519989,411.880005,413.170013,413.170013,6594500
26-07-2023,Wednesday,July,Q3,2023,424.200012,425.26001,415.589996,422.670013,422.670013,6009200
25-07-2023,Tuesday,July,Q3,2023,427.179993,430.880005,426.130005,427.700012,427.700012,4859800
24-07-2023,Monday,July,Q3,2023,425,428.640015,419.190002,428.369995,428.369995,8264400
21-07-2023,Friday,July,Q3,2023,437.369995,438.23999,423.190002,427.5,427.5,17303700
20-07-2023,Thursday,July,Q3,2023,447,448.5,432,437.420013,437.420013,23989700
19-07-2023,Wednesday,July,Q3,2023,476.859985,485,470,477.589996,477.589996,20996500
18-07-2023,Tuesday,July,Q3,2023,451,478.149994,448.779999,474.799988,474.799988,13196900
17-07-2023,Monday,July,Q3,2023,445.570007,456.679993,445.109985,450.049988,450.049988,6891700
14-07-2023,Friday,July,Q3,2023,452.790009,456.480011,439.700012,441.910004,441.910004,7184900
13-07-2023,Thursday,July,Q3,2023,447,451.670013,441.179993,450.380005,450.380005,6157500
12-07-2023,Wednesday,July,Q3,2023,444.549988,445.410004,437.75,444.049988,444.049988,5731700
11-07-2023,Tuesday,July,Q3,2023,438.649994,440.799988,431.040009,440.209991,440.209991,4574600
10-07-2023,Monday,July,Q3,2023,438.519989,444.410004,436.820007,441.709991,441.709991,4251700
07-07-2023,Friday,July,Q3,2023,438.600006,442.329987,435.839996,438.100006,438.100006,4160100
06-07-2023,Thursday,July,Q3,2023,440,442.799988,430.720001,438.839996,438.839996,4938800
05-07-2023,Wednesday,July,Q3,2023,444.910004,450.970001,439.619995,445.899994,445.899994,6869500
03-07-2023,Monday,July,Q3,2023,439.76001,441.549988,431.619995,441.440002,441.440002,3733200
30-06-2023,Friday,June,Q2,2023,431.100006,444.119995,431.100006,440.48999,440.48999,7342000
29-06-2023,Thursday,June,Q2,2023,434.329987,437.850006,426.149994,428.23999,428.23999,4932300
28-06-2023,Wednesday,June,Q2,2023,423.100006,437.290009,422.890015,429.839996,429.839996,8811300
27-06-2023,Tuesday,June,Q2,2023,417.390015,420.880005,411.5,417.079987,417.079987,4818100
